Model Name,Symbolic Class,Symbolic Capacity,System Awareness,Meta-Cognition,Paradigm Flexibility,Cognitive Containment,Epistemic Clarity,Temporal Projection,Narrative Coherence,Shadow Awareness,Alignment Receptivity
Second-Order Thinking,Causal,6,5,9,7,6,7,7,8,6,9
First Principles Thinking,Causal,7,10,4,10,10,10,6,7,5,8
Model Stacking,Meta-Model,6,9,7,5,5,6,8,9,8,9
Simulation Literacy,Cognitive,7,6,8,9,5,10,5,5,4,6
Sunk Cost Symbolism,Identity,7,10,9,10,9,9,6,6,7,5
Cooperative Defection,Relational,7,8,8,7,5,7,4,4,3,4
Paradox Tolerance,Meta-Model,9,7,6,6,6,8,9,8,9,9
Emergence Awareness,Meta-Model,6,5,7,5,7,8,7,8,6,7
Symbolic Compression,Interpretive,10,7,10,5,10,9,5,7,5,6
Mirror Logic,Relational,10,5,7,5,9,8,4,6,4,5
Temporal Discounting,Causal,10,7,8,6,10,6,6,5,5,6
Abstraction Ladder,Interpretive,6,10,5,7,5,7,3,3,2,3
Reductio ad Absurdum,Cognitive,6,8,6,8,10,8,7,7,7,8
Path Dependence,Causal,7,7,6,6,10,8,6,7,6,7
Strategic Ignorance,Cognitive,6,9,9,6,9,7,4,6,5,6
Zero-Sum Fallacy,Relational,7,8,7,7,10,10,5,5,5,6
Tradeoff Triangle,Causal,7,10,6,5,6,6,8,8,8,9
Falsifiability Frame,Interpretive,8,8,6,5,6,10,7,8,7,8
Identity Drift,Identity,8,6,9,8,8,9,6,7,6,7
Anchoring Loop,Cognitive,7,7,5,6,10,10,3,4,4,5
Mental Model Projection,Interpretive,10,7,9,9,8,10,7,8,7,9
Pattern Reliability Bias,Cognitive,9,7,5,6,9,9,6,7,6,8
Narrative Displacement,Identity,6,5,10,5,6,7,4,5,4,6
Perspective Entanglement,Relational,9,9,4,8,8,10,8,9,8,9
Emergence Awareness,Meta-Model,9,9,6,9,5,6,6,7,6,7
Model Stacking,Meta-Model,10,7,10,10,7,6,7,7,6,8
Simulation Literacy,Cognitive,8,8,5,8,5,8,6,6,5,7
Symbolic Compression,Interpretive,10,6,8,5,10,8,5,5,5,6
Cooperative Defection,Relational,10,9,5,6,7,7,7,8,7,9
Paradox Tolerance,Meta-Model,10,9,4,9,7,9,9,9,8,9
